x y
    1.4033    1.6303
    2.3754    0.3340
    1.6466    0.5916
    1.2391    1.2276
    0.6748    1.3675
    1.2570    1.5545
    3.6838    2.2839
    3.0771    0.8544
    3.2762    0.3703
    1.5441    2.0159
    0.9527    0.1959
    1.5361    1.7207
    0.8463    1.0930
    0.9069    2.0775
    2.1173   -0.4707
    2.0568    0.8517
    2.0629    0.0941
    1.5036    3.1810
    1.5379    2.0342
    2.2227    0.2064
    1.3667    0.6485
    1.7760    0.7956
    1.5452    1.8238
    0.7724    0.7916
    1.2204    1.5262
    1.6663    0.7346
    0.1397    0.3823
    0.3929    1.3810
    2.0788    1.0251
    1.2439   -0.0003
    0.4338    1.8456
    2.0277    1.2626
    0.9233    1.0172
    0.8189    0.8035
    1.2394   -0.3127
    1.2346    0.7858
    0.3513    0.3765
    0.9775    0.2656
    0.8763    0.1327
    1.4708    0.5998
    1.8199   -0.5020
    1.8320    1.7232
    0.3523    1.3900
    1.0580    0.9850
    0.1649    0.4014
    0.9949    1.7640
    2.1495    0.9001
    0.4228    0.4641
    1.2785    2.0135
    0.8308    0.8314
    1.8380    0.5582
    0.1832    0.7797
    1.0244    0.3641
    1.4144    0.1599
    1.8255    2.8945
    2.1582    2.2416
    1.0644    1.2307
    0.4433    0.3509
    0.2038    0.8676
    2.7628    1.5936
    0.5383    0.0010
    1.5611   -0.7474
    0.8557   -0.0868
    1.6665    1.2501
    0.4264    1.2935
    1.3661    1.1378
    0.8670    0.6429
    0.8530    1.6465
    2.0645   -0.0213
    1.2187    1.3413
    1.1484    0.3635
    2.1908    0.7488
    0.3967    1.4146
    1.5225    1.7793
    1.6263    0.1618
    0.8172    1.9455
    1.1618    1.4951
    0.1390    0.8536
    1.0787    0.8368
    1.5417    0.7727
    2.9391    1.0173
    0.4998    1.0385
    1.1405    1.6195
    0.9381    2.1452
    0.6708    0.8427
